,TIME,BIKE_STANDS,AVAILABLE_BIKE_STANDS,AVAILABLE_BIKES
0,2022-01-28 00:00:00,2455,1363,1089
1,2022-01-28 00:30:00,2369,1331,1036
2,2022-01-28 01:00:00,2405,1374,1029
3,2022-01-28 01:30:00,2405,1374,1029
4,2022-01-28 02:00:00,2445,1388,1055
5,2022-01-28 02:30:00,2445,1385,1058
6,2022-01-28 03:00:00,2445,1385,1058
7,2022-01-28 03:30:00,2445,1385,1058
8,2022-01-28 04:00:00,2445,1385,1058
9,2022-01-28 04:30:00,2445,1385,1058
10,2022-01-28 05:00:00,2445,1385,1058
11,2022-01-28 05:30:00,2475,1409,1064
12,2022-01-28 06:00:00,2460,1406,1052
13,2022-01-28 06:30:00,2535,1431,1103
14,2022-01-28 07:00:00,2665,1550,1105
15,2022-01-28 07:30:00,2685,1555,1106
16,2022-01-28 08:00:00,2695,1621,1043
17,2022-01-28 08:30:00,2660,1577,1055
18,2022-01-28 09:00:00,2616,1538,1053
19,2022-01-28 09:30:00,2491,1416,1052
20,2022-01-28 10:00:00,2676,1539,1120
21,2022-01-28 10:30:00,2645,1540,1091
22,2022-01-28 11:00:00,2555,1471,1075
23,2022-01-28 11:30:00,2395,1354,1035
24,2022-01-28 12:00:00,2425,1389,1035
25,2022-01-28 12:30:00,2349,1386,962
26,2022-01-28 13:00:00,2286,1392,892
27,2022-01-28 13:30:00,2235,1339,893
28,2022-01-28 14:00:00,2465,1484,978
29,2022-01-28 14:30:00,2445,1450,991
30,2022-01-28 15:00:00,2340,1389,946
31,2022-01-28 15:30:00,2285,1312,969
32,2022-01-28 16:00:00,2265,1297,964
33,2022-01-28 16:30:00,2495,1469,1022
34,2022-01-28 17:00:00,2315,1308,1004
35,2022-01-28 17:30:00,2326,1354,968
36,2022-01-28 18:00:00,2245,1312,929
37,2022-01-28 18:30:00,2475,1467,1002
38,2022-01-28 19:00:00,2325,1316,1007
39,2022-01-28 19:30:00,2285,1277,1007
40,2022-01-28 20:00:00,2416,1385,1030
41,2022-01-28 20:30:00,2425,1368,1056
42,2022-01-28 21:00:00,2425,1356,1068
43,2022-01-28 21:30:00,2360,1339,1020
44,2022-01-28 22:00:00,2380,1336,1043
45,2022-01-28 22:30:00,2310,1276,1033
46,2022-01-28 23:00:00,2437,1365,1071
47,2022-01-28 23:30:00,2367,1318,1048
48,2022-01-29 00:00:00,2385,1332,1052
49,2022-01-29 00:30:00,2425,1342,1082
50,2022-01-29 01:00:00,2525,1395,1129
51,2022-01-29 01:30:00,2585,1392,1192
52,2022-01-29 02:00:00,2556,1376,1179
53,2022-01-29 02:30:00,2556,1376,1179
54,2022-01-29 03:00:00,2516,1349,1166
55,2022-01-29 03:30:00,2516,1349,1166
56,2022-01-29 04:00:00,2516,1349,1166
57,2022-01-29 04:30:00,2516,1349,1166
58,2022-01-29 05:00:00,2516,1349,1166
59,2022-01-29 05:30:00,2415,1331,1083
60,2022-01-29 06:00:00,2575,1442,1132
61,2022-01-29 06:30:00,2435,1339,1095
62,2022-01-29 07:00:00,2496,1389,1106
63,2022-01-29 07:30:00,2356,1308,1047
64,2022-01-29 08:00:00,2378,1380,997
65,2022-01-29 08:30:00,2446,1422,1021
66,2022-01-29 09:00:00,2515,1398,1116
67,2022-01-29 09:30:00,2436,1416,1019
68,2022-01-29 10:00:00,2366,1346,1019
69,2022-01-29 10:30:00,2335,1310,1024
70,2022-01-29 11:00:00,2435,1394,1039
71,2022-01-29 11:30:00,2316,1311,1004
72,2022-01-29 12:00:00,2565,1436,1127
73,2022-01-29 12:30:00,2325,1305,1018
74,2022-01-29 13:00:00,2485,1420,1062
75,2022-01-29 13:30:00,2415,1386,1027
76,2022-01-29 14:00:00,2407,1369,1036
77,2022-01-29 14:30:00,2555,1435,1117
78,2022-01-29 15:00:00,2595,1483,1108
79,2022-01-29 15:30:00,2385,1355,1026
80,2022-01-29 16:00:00,2396,1364,1030
81,2022-01-29 16:30:00,2505,1406,1096
82,2022-01-29 17:00:00,2375,1344,1028
83,2022-01-29 17:30:00,2245,1272,972
84,2022-01-29 18:00:00,2386,1298,1087
85,2022-01-29 18:30:00,2385,1344,1038
86,2022-01-29 19:00:00,2455,1388,1066
87,2022-01-29 19:30:00,2425,1343,1080
88,2022-01-29 20:00:00,2526,1440,1084
89,2022-01-29 20:30:00,2655,1506,1147
90,2022-01-29 21:00:00,2466,1381,1081
91,2022-01-29 21:30:00,2495,1362,1130
92,2022-01-29 22:00:00,2576,1408,1165
93,2022-01-29 22:30:00,2365,1316,1046
94,2022-01-29 23:00:00,2347,1271,1073
95,2022-01-29 23:30:00,2425,1323,1100
96,2022-01-30 00:00:00,2405,1309,1094
97,2022-01-30 00:30:00,2497,1381,1114
98,2022-01-30 01:00:00,2335,1323,1010
99,2022-01-30 01:30:00,2335,1316,1017
100,2022-01-30 02:00:00,2335,1314,1019
101,2022-01-30 02:30:00,2335,1314,1019
102,2022-01-30 03:00:00,2335,1314,1019
103,2022-01-30 03:30:00,2335,1314,1019
104,2022-01-30 04:00:00,2335,1314,1019
105,2022-01-30 04:30:00,2335,1314,1019
106,2022-01-30 05:00:00,2335,1314,1019
107,2022-01-30 05:30:00,2335,1312,1021
108,2022-01-30 06:00:00,2455,1368,1085
109,2022-01-30 06:30:00,2495,1394,1099
110,2022-01-30 07:00:00,2395,1325,1068
111,2022-01-30 07:30:00,2355,1325,1029
112,2022-01-30 08:00:00,2476,1382,1093
113,2022-01-30 08:30:00,2513,1388,1124
114,2022-01-30 09:00:00,2487,1403,1083
115,2022-01-30 09:30:00,2506,1422,1083
116,2022-01-30 10:00:00,2495,1444,1050
117,2022-01-30 10:30:00,2466,1456,1009
118,2022-01-30 11:00:00,2397,1344,1052
119,2022-01-30 11:30:00,2455,1471,983
120,2022-01-30 12:00:00,2415,1427,987
121,2022-01-30 12:30:00,2445,1406,1038
122,2022-01-30 13:00:00,2486,1471,1014
123,2022-01-30 13:30:00,2445,1388,1056
124,2022-01-30 14:00:00,2436,1399,1034
125,2022-01-30 14:30:00,2485,1457,1027
126,2022-01-30 15:00:00,2555,1457,1094
127,2022-01-30 15:30:00,2555,1471,1082
128,2022-01-30 16:00:00,2385,1389,994
129,2022-01-30 16:30:00,2440,1435,1002
130,2022-01-30 17:00:00,2475,1368,1104
131,2022-01-30 17:30:00,2415,1380,1032
132,2022-01-30 18:00:00,2635,1488,1144
133,2022-01-30 18:30:00,2288,1343,942
134,2022-01-30 19:00:00,2505,1415,1087
135,2022-01-30 19:30:00,2545,1420,1121
136,2022-01-30 20:00:00,2516,1424,1088
137,2022-01-30 20:30:00,2495,1432,1055
138,2022-01-30 21:00:00,2635,1486,1141
139,2022-01-30 21:30:00,2620,1511,1102
140,2022-01-30 22:00:00,2450,1437,1005
141,2022-01-30 22:30:00,2485,1432,1045
142,2022-01-30 23:00:00,2530,1458,1064
143,2022-01-30 23:30:00,2500,1462,1031
144,2022-01-31 00:00:00,2505,1440,1058
145,2022-01-31 00:30:00,2385,1350,1028
146,2022-01-31 01:00:00,2485,1407,1071
147,2022-01-31 01:30:00,2485,1407,1071
148,2022-01-31 02:00:00,2485,1407,1071
149,2022-01-31 02:30:00,2485,1407,1071
150,2022-01-31 03:00:00,2485,1407,1071
151,2022-01-31 03:30:00,2485,1407,1071
152,2022-01-31 04:00:00,2485,1407,1071
153,2022-01-31 04:30:00,2485,1407,1071
154,2022-01-31 05:00:00,2485,1407,1071
155,2022-01-31 05:30:00,2505,1426,1072
156,2022-01-31 06:00:00,2575,1456,1112
157,2022-01-31 06:30:00,2545,1441,1099
158,2022-01-31 07:00:00,2475,1427,1043
159,2022-01-31 07:30:00,2357,1349,1003
160,2022-01-31 08:00:00,2945,1737,1174
161,2022-01-31 08:30:00,2715,1599,1078
162,2022-01-31 09:00:00,2729,1633,1064
163,2022-01-31 09:30:00,2785,1600,1162
164,2022-01-31 10:00:00,2765,1616,1130
165,2022-01-31 10:30:00,2527,1438,1076
166,2022-01-31 11:00:00,2560,1457,1097
167,2022-01-31 11:30:00,2605,1573,1032
168,2022-01-31 12:00:00,2348,1443,901
169,2022-01-31 12:30:00,2356,1380,975
170,2022-01-31 13:00:00,2433,1437,994
171,2022-01-31 13:30:00,2337,1402,931
172,2022-01-31 14:00:00,2425,1388,1032
173,2022-01-31 14:30:00,2406,1423,979
174,2022-01-31 15:00:00,2545,1477,1063
175,2022-01-31 15:30:00,2421,1449,966
176,2022-01-31 16:00:00,2300,1359,935
177,2022-01-31 16:30:00,2467,1442,1020
178,2022-01-31 17:00:00,2297,1345,950
179,2022-01-31 17:30:00,2126,1290,835
180,2022-01-31 18:00:00,2126,1290,835
181,2022-01-31 18:30:00,2226,1310,915
182,2022-01-31 19:00:00,2425,1383,1041
183,2022-01-31 19:30:00,2297,1324,972
184,2022-01-31 20:00:00,2215,1311,902
185,2022-01-31 21:30:00,2555,1491,1063
186,2022-01-31 22:00:00,2405,1417,986
187,2022-01-31 22:30:00,2495,1446,1047
188,2022-01-31 23:00:00,2395,1334,1059
189,2022-01-31 23:30:00,2420,1425,993
190,2022-02-01 00:00:00,2352,1391,959
191,2022-02-01 00:30:00,2461,1419,1039
192,2022-02-01 01:00:00,2491,1453,1036
193,2022-02-01 01:30:00,2561,1490,1069
194,2022-02-01 02:00:00,2561,1490,1069
195,2022-02-01 02:30:00,2561,1490,1069
196,2022-02-01 03:00:00,2561,1490,1069
197,2022-02-01 03:30:00,2561,1490,1069
198,2022-02-01 04:00:00,2561,1490,1069
199,2022-02-01 04:30:00,2561,1490,1069
200,2022-02-01 05:00:00,2561,1490,1069
201,2022-02-01 05:30:00,2570,1463,1105
202,2022-02-01 06:00:00,2455,1431,1022
203,2022-02-01 06:30:00,2646,1504,1119
204,2022-02-01 07:00:00,2815,1576,1202
205,2022-02-01 07:30:00,2816,1620,1159
206,2022-02-01 08:00:00,2885,1671,1175
207,2022-02-01 08:30:00,3006,1817,1143
208,2022-02-01 09:00:00,2643,1525,1081
209,2022-02-01 09:30:00,2747,1506,1209
